alvernia,SAGE,OUTLAW,374,MAGICIAN,434,HERO,693,LOVER,657,JESTER,407,EVERYMAN,417,CAREGIVER,428,RULER,431,CREATOR,547,INNOCENT,628,SAGE,1171,EXPLORER,704,
alverno,INNOCENT,OUTLAW,595,MAGICIAN,459,HERO,376,LOVER,588,JESTER,279,EVERYMAN,464,CAREGIVER,367,RULER,240,CREATOR,399,INNOCENT,602,SAGE,481,EXPLORER,377,
alvincollege,EVERYMAN,OUTLAW,523,MAGICIAN,800,HERO,634,LOVER,657,JESTER,328,EVERYMAN,881,CAREGIVER,651,RULER,192,CREATOR,555,INNOCENT,628,SAGE,750,EXPLORER,595,
ambs,EXPLORER,OUTLAW,487,MAGICIAN,503,HERO,416,LOVER,346,JESTER,181,EVERYMAN,464,CAREGIVER,342,RULER,335,CREATOR,611,INNOCENT,276,SAGE,595,EXPLORER,633,
amcollege,EVERYMAN,OUTLAW,1288,MAGICIAN,1527,HERO,1366,LOVER,1280,JESTER,1200,EVERYMAN,2033,CAREGIVER,1076,RULER,1006,CREATOR,1102,INNOCENT,1130,SAGE,802,EXPLORER,1087,
amda,SAGE,OUTLAW,344,MAGICIAN,351,HERO,455,LOVER,242,JESTER,279,EVERYMAN,448,CAREGIVER,315,RULER,335,CREATOR,360,INNOCENT,226,SAGE,651,EXPLORER,382,
american,SAGE,OUTLAW,1098,MAGICIAN,849,HERO,1406,LOVER,1003,JESTER,720,EVERYMAN,989,CAREGIVER,1108,RULER,1150,CREATOR,1115,INNOCENT,979,SAGE,2157,EXPLORER,1218,
amherst,LOVER,OUTLAW,949,MAGICIAN,956,HERO,990,LOVER,1868,JESTER,1539,EVERYMAN,1121,CAREGIVER,1270,RULER,335,CREATOR,1018,INNOCENT,1682,SAGE,1071,EXPLORER,835,
anc,EVERYMAN,OUTLAW,282,MAGICIAN,171,HERO,297,LOVER,35,JESTER,74,EVERYMAN,309,CAREGIVER,159,RULER,192,CREATOR,174,INNOCENT,226,SAGE,156,EXPLORER,131,
andersonuniversity,LOVER,OUTLAW,857,MAGICIAN,747,HERO,713,LOVER,1280,JESTER,755,EVERYMAN,734,CAREGIVER,665,RULER,383,CREATOR,827,INNOCENT,904,SAGE,713,EXPLORER,1016,
